#{"t_start": 1542043951.8817964, "env_id": "DartBlockPush-v0"}
r,l,t
0.566498,3,6.826559
0.5275,3,6.929292
0.568716,3,7.042823
0.508229,3,7.143936
0.755107,3,7.249186
0.799828,3,7.325512
0.585245,3,7.408399
0.798946,3,7.522579
0.686682,3,7.626703
0.738933,3,7.735167
0.344445,3,7.836295
0.763064,3,7.945012
0.351463,3,8.025082
0.811146,3,8.137764
0.859851,3,8.21348
0.56642,3,8.316068
0.854163,3,8.428688
0.659597,3,8.545357
0.682755,3,8.644637
0.844439,3,8.721463
0.370231,3,8.833749
0.570588,3,8.910555
0.797967,3,9.009895
0.776275,3,9.098502
0.851972,3,9.212413
0.806191,3,9.306912
0.36821,3,9.420095
0.50141,3,9.515689
0.839542,3,9.595219
0.731498,3,9.741963
0.266498,3,9.881844
0.842399,3,10.00152
0.652316,3,10.094596
0.628036,3,10.191322
0.224711,3,10.298745
0.60461,3,10.395815
0.675973,3,10.485421
0.885179,3,10.570055
0.810268,3,10.649306
0.785107,3,10.733515
0.493024,3,10.81866
0.818503,3,10.913545
0.643676,3,49.782597
0.227407,3,49.872501
0.730094,3,49.970234
0.790311,3,50.069071
0.471657,3,50.177566
0.82136,3,50.261604
0.788996,3,50.346519
0.61555,3,50.43158
0.566611,3,50.541759
0.674693,3,50.640973
0.878017,3,50.763946
0.794763,3,50.848697
0.571594,3,50.956519
0.956325,3,51.053501
0.827953,3,51.134691
0.473524,3,51.227407
0.932315,3,51.340314
0.634902,3,51.443624
0.608156,3,51.553504
0.917591,3,51.73552
0.7465,3,51.837259
0.877353,3,51.941938
0.724486,3,52.058954
0.9004,3,52.174172
0.70357,3,52.25806
0.585772,3,52.371485
0.524864,3,52.48106
0.507272,3,52.588918
0.874165,3,52.677092
0.938876,3,52.809993
0.628076,3,52.922824
0.60245,3,53.033786
0.834825,3,53.152298
0.748432,3,53.266127
0.599745,3,53.356023
0.826952,3,53.461959
0.62964,3,53.587651
0.795516,3,53.6933
0.316226,3,53.79346
0.678532,3,53.913814
0.411503,3,54.006364
0.957791,3,54.109737
0.391727,3,89.242196
0.820468,3,89.337252
0.7563,3,89.421589
0.833629,3,89.518904
0.418681,3,89.624848
0.797931,3,89.722966
0.787342,3,89.813244
0.714897,3,89.930239
0.3334,3,90.033331
0.811533,3,90.117403
0.728217,3,90.243261
0.917407,3,90.326999
0.675751,3,90.422784
0.823814,3,90.584756
0.689303,3,90.671968
0.764555,3,90.780647
0.777774,3,90.881232
0.465157,3,90.985116
0.839762,3,91.095674
0.484792,3,91.183034
0.510804,3,91.318913
0.734291,3,91.401311
0.748196,3,91.51627
0.852062,3,91.6188
0.820824,3,91.734052
0.580698,3,91.847408
0.627393,3,91.95454
0.444699,3,92.052675
0.727564,3,92.162417
0.753611,3,92.259277
0.842446,3,92.35386
0.52588,3,92.450406
0.614751,3,92.574856
0.889941,3,92.685112
0.796018,3,92.760044
0.434582,3,92.855782
0.688322,3,92.937045
0.799802,3,93.037221
0.79216,3,93.150726
0.835633,3,93.271026
0.744884,3,93.374048
0.790939,3,93.486819
